MAAMOV,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port,EVERTZ - Template,EVERTZ - DMG1,EVERTZ - DMG2,EVERTZ - Encoder,EVERTZ - IRD1,EVERTZ - IRD2,EVERTZ - Launch Status,EVERTZ  Note-1,EVERTZ  Note-2,EVERTZ - Source Description,Daily Summery Include,Sling Call DUPLICATE,Multicast DUPLICATE
FOXN13,FOXN13,FOXN13,232.23.34.13,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 48,Port 1048,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS North (Plus 1),Gilbert Master Control Service: Sling 13,Gilbert Service,YES,ok,ok
FOXN14,FOXN14,FOXN14,232.23.34.14,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 49,Port 1049,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS North (Plus 2),Gilbert Master Control Service: Sling 14,Gilbert Service,YES,ok,ok
FOXN15,FOXN15,FOXN15,232.23.34.15,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 50,Port 1050,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS North (Plus 3),Gilbert Master Control Service: Sling 15,Gilbert Service,YES,ok,ok
FOXN16,FOXN16,FOXN16,232.23.34.16,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 51,Port 1051,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS North (Plus 4),Gilbert Master Control Service: Sling 16,Gilbert Service,YES,ok,ok
OLD_FOXN17,OLD_FOXN17,OLD_FOXN17,232.23.34.17,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,No,Sentry 2,,,Port 52,Port 1052,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling OPEN 17,Gilbert Service,SKIP,ok,ok
FOXOH18,FOXOH18,FOXOH18,232.23.34.18,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 53,Port 1053,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Ohio (Plus),Gilbert Master Control Service: Sling 18,Gilbert Service,YES,ok,ok
FOXS19,FOXS19,FOXS19,232.23.34.19,3101,172.31.1.23,172.31.2.23,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 54,Port 1054,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS South (Plus 1),Gilbert Master Control Service: Sling 19,Gilbert Service,YES,ok,ok
FOXS20,FOXS20,FOXS20,232.23.34.20,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 55,Port 1055,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS South (Plus 2),Gilbert Master Control Service: Sling 20,Gilbert Service,YES,ok,ok
FOXS21,FOXS21,FOXS21,232.23.34.21,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 56,Port 1056,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS South (Plus 3),Gilbert Master Control Service: Sling 21,Gilbert Service,YES,ok,ok
FOXS22,FOXS22,FOXS22,232.23.34.22,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 57,Port 1057,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS South (Plus 4),Gilbert Master Control Service: Sling 22,Gilbert Service,YES,ok,ok
FOXSD23,FOXSD23,FOXSD23,232.23.34.23,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 58,Port 1058,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS San Diego (Plus 1),Gilbert Master Control Service: Sling 23,Gilbert Service,YES,ok,ok
FOXSD24,FOXSD24,FOXSD24,232.23.34.24,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 59,Port 1059,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS San Diego (Plus 2),Gilbert Master Control Service: Sling 24,Gilbert Service,YES,ok,ok
FOXSE25,FOXSE25,FOXSE25,232.23.34.25,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 60,Port 1060,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Southeast (Plus 1),Gilbert Master Control Service: Sling 25,Gilbert Service,YES,ok,ok
FOXSE26,FOXSE26,FOXSE26,232.23.34.26,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 61,Port 1061,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Southeast (Plus 2),Gilbert Master Control Service: Sling 26,Gilbert Service,YES,ok,ok
FOXSE27,FOXSE27,FOXSE27,232.23.34.27,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 62,Port 1062,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Southeast (Plus 3),Gilbert Master Control Service: Sling 27,Gilbert Service,YES,ok,ok
OLD_FOXSE28,OLD_FOXSE28,OLD_FOXSE28,232.23.34.28,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,No,Sentry 2,,,Port 63,Port 1063,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling OPEN 28,Gilbert Service,SKIP,ok,ok
FOXSW29,FOXSW29,FOXSW29,232.23.34.29,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 64,Port 1064,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Southwest (Plus 1),Gilbert Master Control Service: Sling 29,Gilbert Service,YES,ok,ok
FOXSW30,FOXSW30,FOXSW30,232.23.34.30,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 65,Port 1065,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Southwest (Plus 2),Gilbert Master Control Service: Sling 30,Gilbert Service,YES,ok,ok
FOXSW31,FOXSW31,FOXSW31,232.23.34.31,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 66,Port 1066,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Southwest (Plus 3),Gilbert Master Control Service: Sling 31,Gilbert Service,YES,ok,ok
FOXSW32,FOXSW32,FOXSW32,232.23.34.32,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 67,Port 1067,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Southwest (Plus 4),Gilbert Master Control Service: Sling 32,Gilbert Service,YES,ok,ok
FOXSW33,FOXSW33,FOXSW33,232.23.34.33,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 68,Port 1068,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Southwest (Plus 5),Gilbert Master Control Service: Sling 33,Gilbert Service,YES,ok,ok
FOXSW34,FOXSW34,FOXSW34,232.23.34.34,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 69,Port 1069,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Southwest (Plus 6),Gilbert Master Control Service: Sling 34,Gilbert Service,YES,ok,ok
FOXSW35,FOXSW35,FOXSW35,232.23.34.35,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 70,Port 1070,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS Southwest (Plus 7),Gilbert Master Control Service: Sling 35,Gilbert Service,YES,ok,ok
FOXW36,FOXW36,FOXW36,232.23.34.36,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 2,,,Port 71,Port 1071,Encoder,DMG1,DMG2,ENCODER,,,Customer,FS West (Plus),Gilbert Master Control Service: Sling 36,Gilbert Service,YES,ok,ok
FR24ARA,NA,FR24ARA,232.70.14.1,1234,172.31.27.23,172.31.28.23,BUNDLE,MX1,Yes,Sentry 2,,,Port 72,Port 1072,Outside,,,,,,Customer,FRANCE 24(ARABIC),,Building 2,YES,ok,ok
FRNC24,FRN24,FRNC24,232.20.95.238,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 73,Port 1073,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
FS1HD,FOXS1,FS1HD,232.70.10.1,1234,172.31.27.21,172.31.28.21,BUNDLE,FOX,Yes,Sentry 2,,,Port 74,Port 1074,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports 1,,Gilbert Service,YES,ok,ok
FS2HD,FOXS2,FS2HD,232.70.10.2,1234,172.31.27.21,172.31.28.21,BUNDLE,FOX,Yes,Sentry 2,,,Port 75,Port 1075,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports 2,,Gilbert Service,YES,ok,ok
FSAZHD,FOXAZ,FSAZHD,232.23.36.99,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 76,Port 1076,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports Arizona,,Gilbert Service,YES,ok,ok
FSDHD,FOXD,FSDHD,232.23.35.184,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 77,Port 1077,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports Detroit,,Gilbert Service,YES,ok,ok
FSNFLHD,FOXFL,FSNFLHD,232.23.38.65,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 78,Port 1078,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports Florida,,Gilbert Service,YES,ok,ok
FSMSATH,FSMSATH,FSMSATH,232.23.39.183,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 79,Port 1079,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports Midwest,,Gilbert Service,YES,ok,ok
FSNO1HD,FOXN,FSNO1HD,232.23.39.216,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 80,Port 1080,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports North,,Gilbert Service,YES,ok,ok
FSOH2HD,FOXCN,FSOH2HD,232.23.38.107,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 81,Port 1081,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports Cincinnati,,Gilbert Service,YES,ok,ok
FSNOHNR,FSNOHNR,FSNOHNR,232.23.38.66,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 82,Port 1082,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports Ohio,,Gilbert Service,YES,ok,ok
FSSDHD,FOXSD,FSSDHD,232.23.36.14,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 83,Port 1083,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports San Diego,,Gilbert Service,YES,ok,ok
FSSEHD,FOXSE,FSSEHD,232.23.36.63,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 84,Port 1084,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports Southeast,,Gilbert Service,YES,ok,ok
FSSHD,FOXSW,FSSHD,232.23.39.182,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 85,Port 1085,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports Southwest,,Gilbert Service,YES,ok,ok
FSSOHD,FOXS,FSSOHD,232.23.39.185,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 86,Port 1086,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports South,,Gilbert Service,YES,ok,ok
FSTV,NA,FSTV,232.70.4.10,1234,172.31.27.23,172.31.28.23,BUNDLE,LTN,Yes,Sentry 2,,,Port 87,Port 1087,Outside,,,,,,Customer,FREESPEECH,,Building 2,YES,ok,ok
FSWHD,FOXW,FSWHD,232.23.38.64,3101,172.31.1.23,172.31.2.23,BUNDLE,DBS,Yes,Sentry 2,,,Port 88,Port 1088,Encoder,DMG1,DMG2,ENCODER,,,Customer,FOX Sports West,,Gilbert Service,YES,ok,ok
FTVTW,FTVTW,FTVTW,232.20.97.131,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 89,Port 1089,Encoder,DMG1,DMG2,ENCODER,,,Customer,Formosa TV (Taiwanese),,Cheyenne Service,YES,ok,ok
FUJTV,FUJTV,FUJTV,232.33.7.6,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 90,Port 1090,Encoder,DMG1,DMG2,ENCODER,,,Customer,Fujian Straits TV (Chinese/Mandarin),,Gilbert Service,YES,ok,ok
FUSE,FUSE,FUSEHD,232.168.50.123,3101,172.31.1.32,172.31.2.32,BUNDLE,DBS,Yes,Sentry 2,,,Port 91,Port 1091,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,FUSE,,Gilbert IRD,YES,ok,ok
FUSION,FUSN,FUSION,232.23.38.34,3101,172.31.1.22,172.31.2.22,BUNDLE,DBS,Yes,Sentry 2,,,Port 92,Port 1092,Encoder,DMG1,DMG2,ENCODER,,,Customer,Fusion,,Gilbert Service,YES,ok,ok
FUTURE,FUTUR,FUTURE,232.20.214.59,3101,172.31.1.22,172.31.2.22,BUNDLE,Che OVERON,Yes,Sentry 2,,,Port 93,Port 1093,Encoder,DMG1,DMG2,ENCODER,,,Customer,Future Television,,Cheyenne Service,YES,ok,ok
FXHD,FX,FXHD,232.70.10.3,1234,172.31.27.21,172.31.28.21,BUNDLE,FOX,Yes,Sentry 2,,,Port 94,Port 1094,Encoder,DMG1,DMG2,ENCODER,,,Customer,FX,,Gilbert Service,YES,ok,ok
FYI,FYI,FYI,232.70.3.3,1234,172.31.27.21,172.31.28.21,BUNDLE,AandE,Yes,Sentry 2,,,Port 95,Port 1095,Outside,,,,,,Customer,FYI,,Building 2,YES,ok,ok
GARVP,NA,GARVP,232.70.5.140,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 2,,,Port 96,Port 1096,Outside,,,,,,Customer,GARV PUNJAB,,Building 2,YES,ok,ok
GCMDY,GCMDY,GCMDY,232.20.97.174,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 97,Port 1097,Encoder,DMG1,DMG2,ENCODER,,,Customer,Gemini Comedy (Telugu),,Cheyenne Service,YES,ok,ok
GEMITV,GEMNI,GEMITV,232.20.96.48,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 98,Port 1098,Encoder,DMG1,DMG2,ENCODER,,,Customer,Gemini TV (Telugu),,Cheyenne Service,YES,ok,ok
GEMNMV,GEMOV,GEMNMV,232.20.98.134,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 99,Port 1099,Encoder,DMG1,DMG2,ENCODER,,,Customer,Gemini Movies (Telegu),,Cheyenne Service,YES,ok,ok
GEONWS,GEONW,GEONWS,232.20.214.29,3101,172.31.1.24,172.31.2.24,BUNDLE,DBS,Yes,Sentry 2,,,Port 100,Port 1100,Encoder,DMG1,DMG2,ENCODER,,,Customer,GEO News (Urdu),,Cheyenne Service,YES,ok,ok
GEOTV,GEOTV,GEOTV,232.20.214.31,3101,172.31.1.24,172.31.2.24,BUNDLE,DBS,Yes,Sentry 2,,,Port 101,Port 1101,Encoder,DMG1,DMG2,ENCODER,,,Customer,GEO TV (Urdu),,Cheyenne Service,YES,ok,ok
CTVI,CTVI,CTVI,232.20.97.198,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 102,Port 1102,Encoder,DMG1,DMG2,ENCODER,,,Customer,ICN Entertainment ,,Cheyenne Service,YES,ok,ok
GHANTA,NA,GHANTA,232.70.6.102,1234,172.31.27.22,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 103,Port 1103,Outside,,,,,,Customer,24 Ghanta,,Building 2,YES,ok,ok
GOLFHD,GOLF,GOLFHD,232.70.2.102,1234,172.31.27.22,172.31.28.22,BUNDLE,NBC,Yes,Sentry 2,,,Port 104,Port 1104,Outside,,,,,,Customer,The Golf Channel HD,,Building 2,YES,ok,ok
GREEKC,GREKC,GREEKC,232.20.97.162,3101,172.31.1.24,172.31.2.24,BUNDLE,MX1,Yes,Sentry 2,,,Port 105,Port 1105,Outside,,,,,,Customer,GREEK CINEMA,,Building 2,YES,ok,ok
GRTWLE,NA,GRTWLE,232.20.96.80,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 106,Port 1106,Encoder,DMG1,DMG2,ENCODER,,,Customer,Great Wall Elite,,Cheyenne Service,YES,ok,ok
GRTWLF,NA,GRTWLF,232.70.5.143,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 2,,,Port 107,Port 1107,Outside,,,,,,Customer,Great Wall Fresh,,Building 2,YES,ok,ok
GRVPG,NA,GRVPG,232.70.5.141,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 2,,,Port 108,Port 1108,Outside,,,,,,Customer,GARV PUNJAB GURBANI,,Building 2,YES,ok,ok
GRVSS,NA,GRVSS,232.70.5.142,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 2,,,Port 109,Port 1109,Outside,,,,,,Customer,GARV SHREE SWAMINARAYAN,,Building 2,YES,ok,ok
GSNHD,NA,GSNHD,232.168.50.103,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 110,Port 1110,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,Game Show Network,GIL IRD -  591,Gilbert IRD,YES,ok,ok
GUAND,NA,GUAND,232.33.7.10,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 111,Port 1111,Encoder,DMG1,DMG2,ENCODER,,,Customer,Guangdong Southern TV (Chinese/Mandarin),,Gilbert Service,YES,ok,ok
GULISTN,NA,GULISTN,232.70.5.44,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 2,,,Port 112,Port 1112,Outside,,,,,,Customer,Gulistan News,,Building 2,YES,ok,ok
HALLHD,HALLHD,HALLHD,232.70.7.2,1234,172.31.27.23,172.31.28.23,BUNDLE,ENCOMPASS,Yes,Sentry 2,,,Port 113,Port 1113,Outside,,,,,,Customer,The Hallmark Channel,,Building 2,YES,ok,ok
HB,HALLA,HB,232.20.97.75,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 114,Port 1114,Encoder,DMG1,DMG2,ENCODER,,,Customer,Halla Bol (Hindi),,Cheyenne Service,YES,ok,ok
HBOE,HBOE,HBOE,232.168.50.14,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 115,Port 1115,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,Home Box Office (East) HD ,GIL IRD -  562,Gilbert IRD,YES,ok,ok
HDNMV,HDNMV,HDNMV,232.23.40.2,3101,172.31.1.22,172.31.2.22,BUNDLE,NOBUNDLE,Yes,Sentry 2,,,Port 116,Port 1116,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Gilbert Service,YES,ok,ok
HDRHD,NA,HDRHD,232.70.7.3,1234,172.31.27.23,172.31.28.23,BUNDLE,ENCOMPASS,Yes,Sentry 2,,,Port 117,Port 1117,Outside,,,,,,Customer,Hallmark Drama,,Building 2,YES,ok,ok
HGTVHD,HGTV,HGTVHD,232.168.50.2,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 118,Port 1118,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,Home & Garden TV HD,GIL IRD -  541,Gilbert IRD,YES,ok,ok
HIDAYA,NA,HIDAYA,232.168.50.90,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 119,Port 1119,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,Quran Hidayah English,GIL IRD -  586,Gilbert IRD,YES,ok,ok
HISSTR,HIST,HISSTR,232.70.3.2,1234,172.31.27.21,172.31.28.21,BUNDLE,AandE,Yes,Sentry 2,,,Port 120,Port 1120,Outside,,,,,,Customer,The History Channel,,Building 2,YES,ok,ok
HISTE,HISTE,HISTE,232.168.50.122,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 121,Port 1121,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,History En Español,GIL IRD -  564,Gilbert IRD,YES,ok,ok
HKYAT,ARTH1,HKYAT,232.20.214.56,3101,172.31.1.22,172.31.2.22,BUNDLE,Che OVERON,Yes,Sentry 2,,,Port 122,Port 1122,Encoder,DMG1,DMG2,ENCODER,,,Customer,ART Hekayat 1,,Cheyenne Service,YES,ok,ok
HLNHD,HLN,HLNHD,232.168.50.43,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 123,Port 1123,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,Headline News HD,GIL IRD -  554,Gilbert IRD,YES,ok,ok
HMMHD,HMM,HMMHD,232.70.7.1,1234,172.31.27.23,172.31.28.23,BUNDLE,ENCOMPASS,Yes,Sentry 2,,,Port 124,Port 1124,Outside,,,,,,Customer,Hallmark Movies & Mysteries,,Building 2,YES,ok,ok
HMTV,NA,HMTV,232.70.5.48,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 2,,,Port 125,Port 1125,Outside,,,,,,Customer,HMTV,,Building 2,YES,ok,ok
HOLATVHD,NA,HOLATVHD,232.168.50.108,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 126,Port 1126,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,HOLA! TV,GIL IRD -  556,Gilbert IRD,YES,ok,ok
OLD_HRKRS,NA,OLD_HRKRS,232.70.5.74,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,No,Sentry 2,,,Port 127,Port 1127,Outside,,,,,,Customer,HARE KRSNA,,Building 2,SKIP,ok,ok
HUMMA,HUMMA,HUMMA,232.20.97.170,3101,172.31.1.22,172.31.2.22,BUNDLE,DBS,Yes,Sentry 2,,,Port 128,Port 1128,Encoder,DMG1,DMG2,ENCODER,,,Customer,HUM Masala,,Cheyenne Service,YES,ok,ok
HUNAN,HUNAN,HUNAN,232.33.7.8,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 129,Port 1129,Encoder,DMG1,DMG2,ENCODER,,,Customer,Hunan Satellite TV (Chinese/Mandarin),,Cheyenne Service,YES,ok,ok
IBNLOKMA,IBNLOKMA,IBNLOKMA,232.70.6.142,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 130,Port 1130,Outside,,,,,,Customer,News18 Lokmat,,Building 2,YES,ok,ok
IFC,IFC,IFC,232.70.2.73,1234,172.31.27.23,172.31.28.23,BUNDLE,AMC_,Yes,Sentry 2,,,Port 131,Port 1131,Outside,,,,,,Customer,Independent Film Channel (IFC),,Building 2,YES,ok,ok
OLD_IKKONK,NA,OLD_IKKONK,232.70.5.12,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,No,Sentry 2,,,Port 132,Port 1132,Outside,,,,,,Customer,Om Shanti,,Building 2,SKIP,ok,ok
INDIA24,NA,INDIA24,232.70.6.104,1234,172.31.27.22,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 133,Port 1133,Outside,,,,,,Customer,INDIA24,,Building 2,YES,ok,ok
INDTODAY,NA,INDTODAY,232.20.97.167,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 134,Port 1134,Encoder,DMG1,DMG2,ENCODER,,,Customer,India Today,,Cheyenne Service,YES,ok,ok
INSYNC,NA,INSYNC,232.70.5.37,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 2,,,Port 135,Port 1135,Outside,,,,,,Customer,InSync,,Building 2,YES,ok,ok
IPLUS,IPLUS,IPLUS,232.70.5.38,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 2,,,Port 136,Port 1136,Outside,,,,,,Customer,iPlus TV,,Building 2,YES,ok,ok
ISHWAR,NA,ISHWAR,232.70.5.64,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 2,,,Port 137,Port 1137,Outside,,,,,,Customer,Ishwar,,Building 2,YES,ok,ok
ITVN,ITVN,ITVN,232.20.5.196,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 138,Port 1138,Encoder,DMG1,DMG2,ENCODER,,,Customer,iTVN,,Cheyenne Service,YES,ok,ok
ITVNE,ITVNE,ITVNE,232.70.6.171,1234,172.31.27.23,172.31.28.23,BUNDLE,TATA,Yes,Sentry 2,,,Port 139,Port 1139,Outside,,,,,,Customer,iTVN Extra,,Building 2,YES,ok,ok
ITVNHD,ITVN,ITVNHD,232.20.5.96,3101,172.31.1.21,172.31.2.21,BUNDLE,NOBUNDLE,Yes,Sentry 2,,,Port 140,Port 1140,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
OLD_JANATAA,NA,OLD_JANATAA,232.70.5.49,1234,172.31.27.23,172.31.28.23,BUNDLE,NOBUNDLE,No,Sentry 2,,,Port 141,Port 1141,Outside,,,,,,Customer,,,Building 2,SKIP,ok,ok
JAYA,JAYA+,JAYA,232.20.97.132,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 142,Port 1142,Encoder,DMG1,DMG2,ENCODER,,,Customer,Jaya Plus (Tamil),,Cheyenne Service,YES,ok,ok
JAYATV,JAYA,JAYATV,232.20.96.43,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 143,Port 1143,Encoder,DMG1,DMG2,ENCODER,,,Customer,Jaya TV (Tamil),,Cheyenne Service,YES,ok,ok
JAZMUB,AJMUB,JAZMUB,232.20.97.103,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 144,Port 1144,Encoder,DMG1,DMG2,ENCODER,,,Customer,AJMUB MUBASH,,Cheyenne Service,YES,ok,ok
BEIN5,BEIN5,BEIN5,232.70.15.5,1234,172.31.27.23,172.31.28.23,BUNDLE,Eurovision SRT,Yes,Sentry 2,,,Port 145,Port 1145,Outside,,,,,,Customer,beIN Sports Connect 5,,Building 2,SKIP,ok,ok
BEIN6,BEIN6,BEIN6,232.70.15.6,1234,172.31.27.23,172.31.28.23,BUNDLE,Eurovision SRT,Yes,Sentry 2,,,Port 146,Port 1146,Outside,,,,,,Customer,beIN Sports Connect 6,,Building 2,SKIP,ok,ok
