MAAMOV,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port,EVERTZ - Template,EVERTZ - DMG1,EVERTZ - DMG2,EVERTZ - Encoder,EVERTZ - IRD1,EVERTZ - IRD2,EVERTZ - Launch Status,EVERTZ  Note-1,EVERTZ  Note-2,EVERTZ - Source Description,Daily Summery Include,Sling Call DUPLICATE,Multicast DUPLICATE
CUBAMAX,CUBAM,CUBAMAX,232.23.36.50,3101,172.31.1.22,172.31.2.22,BUNDLE,DBS,Yes,Sentry 1,,,Port 152,Port 1152,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Gilbert Service,YES,ok,ok
CYRTV,CYRTV,CYRTV,232.33.7.7,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 1,,,Port 153,Port 1153,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Gilbert Service,YES,ok,ok
OLD_DEPELC,OLD_PCLAS,OLD_DEPELC,232.23.37.191,3101,172.31.1.22,172.31.2.22,BUNDLE,DBS,No,Sentry 1,,,Port 154,Port 1154,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Gilbert Service,SKIP,ok,ok
OLD_DEPELUS,OLD_PELIC,OLD_DEPELUS,232.23.36.86,3101,172.31.1.22,172.31.2.22,BUNDLE,DBS,No,Sentry 1,,,Port 155,Port 1155,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Gilbert Service,SKIP,ok,ok
DISCOPL,DISCOPL,DISCOPL,232.70.1.13,3101,172.31.28.71,172.31.27.71,BUNDLE,MX1,Yes,Sentry 1,,,Port 156,Port 1156,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
DIYHD,DIY,DIYHD,232.168.50.4,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 1,,,Port 157,Port 1157,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  541,Gilbert IRD,YES,ok,ok
DMC,DMC,DMC,232.20.214.58,3101,172.31.1.22,172.31.2.22,BUNDLE,Che OVERON,Yes,Sentry 1,,,Port 158,Port 1158,Encoder,DMG1,DMG2,ENCODER,,,Customer,DMC,,Cheyenne Service,YES,ok,ok
DMCD,DMCD,DMCD,232.70.1.85,3101,172.31.27.71,172.31.28.71,BUNDLE,MX1,Yes,Sentry 1,,,Port 159,Port 1159,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
DOMV,DOMV,DOMV,232.168.50.118,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 1,,,Port 160,Port 1160,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  589,Gilbert IRD,YES,ok,ok
DRAGN,DRAGN,DRAGN,232.33.7.9,3101,172.31.1.21,172.31.2.21,BUNDLE,Tiger Tech,Yes,Sentry 1,,,Port 161,Port 1161,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Gilbert Service,YES,ok,ok
DREAM2,DREAM,DREAM2,232.20.214.65,3101,172.31.1.24,172.31.2.24,Che MUX,Che NEXTOLOGIES,Yes,Sentry 1,,,Port 162,Port 1162,IRD,DMG1,DMG2,,MUX 1,MUX 2,Customer,Dream,NEXTOLOGIES DELIVERY: Fiber Source From Cheyenne FEEDS COMPRESSION DMGS,Cheyenne MUX,YES,ok,ok
DUCKTV,DUCKTV,DUCKTV,232.23.13.23,3101,172.31.1.22,172.31.2.22,BUNDLE,NEXTOLOGIES,Yes,Sentry 1,,,Port 163,Port 1163,IRD,DMG1,DMG2,,Gilbert Fiber,Gilbert Fiber,Customer,,NEXTOLOGIES DELIVERY: A FIBER SOURCE IN STM1770 FEEDS COMPRESSION DMGS,Gilbert Fiber Service,YES,ok,ok
DUNYA,DUNYA,DUNYA,232.20.214.30,3101,172.31.1.21,172.31.2.21,BUNDLE,Che MX1,Yes,Sentry 1,,,Port 164,Port 1164,Encoder,DMG1,DMG2,ENCODER,,,Customer,Dunya TV,,Cheyenne Service,YES,ok,ok
ECUAVI,ECUAVI,ECUAVI,232.168.50.47,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 1,,,Port 165,Port 1165,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  552,Gilbert IRD,YES,ok,ok
EHD,E!,EHD,232.70.2.109,1234,172.31.27.22,172.31.28.22,BUNDLE,NBC,Yes,Sentry 1,,,Port 166,Port 1166,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
ELFINANCHD,NA,ELFINANCHD,232.168.50.78,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 1,,,Port 167,Port 1167,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  558,Gilbert IRD,YES,ok,ok
ELMEH,NA,ELMEH,232.23.13.5,3101,172.31.1.22,172.31.2.22,BUNDLE,NEXTOLOGIES,Yes,Sentry 1,,,Port 168,Port 1168,IRD,DMG1,DMG2,,Gilbert Fiber,Gilbert Fiber,Customer,,NEXTOLOGIES DELIVERY: A FIBER SOURCE IN STM1770 FEEDS COMPRESSION DMGS,Gilbert Fiber Service,YES,ok,ok
ENCORE,ENCORE,ENCORE,232.168.50.139,3101,172.31.1.32,172.31.2.32,BUNDLE,NOBUNDLE,Yes,Sentry 1,,,Port 169,Port 1169,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,STARZ ENCORE,GIL IRD -  576,Gilbert IRD,YES,ok,ok
EPDVN,EPXDR,EPDVN,232.168.50.107,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 1,,,Port 170,Port 1170,IRD,DMG1,DMG2,,IRD1,IRD2,Beta,EPIX Drive-In,GIL IRD -  592,Gilbert IRD,YES,ok,ok
EPIX2HD,EPIX2,EPIX2HD,232.168.50.105,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 1,,,Port 171,Port 1171,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,EPIX2HD,GIL IRD -  592,Gilbert IRD,YES,ok,ok
EPIX3HD,EPIXH,EPIX3HD,232.168.50.106,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 1,,,Port 172,Port 1172,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,EPIX Hits,GIL IRD -  592,Gilbert IRD,YES,ok,ok
EPIXHD,EPIX1,EPIXHD,232.168.50.104,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 1,,,Port 173,Port 1173,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,EPIXHD,GIL IRD -  592,Gilbert IRD,YES,ok,ok
ESC1,ESC-1,ESC1,232.20.214.3,3101,172.31.1.24,172.31.2.24,BUNDLE,DBS,Yes,Sentry 1,,,Port 174,Port 1174,Encoder,DMG1,DMG2,ENCODER,,,Customer,EGYPTIAN SATELLITE CHANNEL 1,,Cheyenne Service,YES,ok,ok
ESPN2HD,ESPN2,ESPN2HD,232.70.2.12,1234,172.31.27.21,172.31.28.21,BUNDLE,ESPN,Yes,Sentry 1,,,Port 175,Port 1175,Outside,,,,,,Customer,ESPN2HD,,Building 2,YES,ok,ok
ESPNDHD,ESPND,ESPNDHD,232.70.2.17,1234,172.31.27.21,172.31.28.21,BUNDLE,ESPN,Yes,Sentry 1,,,Port 176,Port 1176,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
OLD_ESPNHD,OLD_ESPN,OLD_ESPNHD,232.70.2.11,1234,172.31.27.21,172.31.28.21,BUNDLE,ESPN,No,Sentry 1,,,Port 177,Port 1177,Outside,,,,,,Customer,,,Building 2,SKIP,ok,ok
ESPNUHD,ESPNU,ESPNUHD,232.70.2.14,1234,172.31.27.21,172.31.28.21,BUNDLE,ESPN,Yes,Sentry 2,,,Port 0,Port 1000,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
ESPNWHD,ESNWS,ESPNWHD,232.70.2.13,1234,172.31.27.21,172.31.28.21,BUNDLE,ESPN,Yes,Sentry 2,,,Port 1,Port 1001,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
ESTRELLA,NA,ESTRELLA,232.168.50.84,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 2,Port 1002,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,Estrella TV,GIL IRD -  580,Gilbert IRD,YES,ok,ok
ESTUD5,NA,ESTUD5,232.168.50.92,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 3,Port 1003,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,Estudio 5,GIL IRD -  581,Gilbert IRD,YES,ok,ok
ESTV,ESTV,ESTV,232.168.50.117,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 2,,,Port 4,Port 1004,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,Tele El Salvador,GIL IRD -  589,Gilbert IRD,YES,ok,ok
ETCHI,ETCHI,ETCHI,232.20.96.75,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 5,Port 1005,Encoder,DMG1,DMG2,ENCODER,,,Customer,ET China (Taiwanese),,Cheyenne Service,YES,ok,ok
ETDRA,ETDRA,ETDRA,232.20.97.97,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 6,Port 1006,Encoder,DMG1,DMG2,ENCODER,,,Customer,ET Drama (Taiwanese),,Cheyenne Service,YES,ok,ok
ETFINWS,ETFIN,ETFINWS,232.20.97.203,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 7,Port 1007,Encoder,DMG1,DMG2,ENCODER,,,Customer,ET Financial News (Taiwanese),,Cheyenne Service,YES,ok,ok
ETGLOB,ETGLB,ETGLOB,232.20.97.88,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 2,,,Port 8,Port 1008,Encoder,DMG1,DMG2,ENCODER,,,Customer,ET Global (Taiwanese),,Cheyenne Service,YES,ok,ok
ETMP,NA,ETMP,232.70.6.127,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 2,,,Port 9,Port 1009,Outside,,,,,,Customer,News18 MP Chhattisgarah,,Building 2,YES,ok,ok
