MASTER PATH,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port
FRNC24,FRN24,FRNC24,232.20.95.238,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 73,Port 1073
FS1HD,FOXS1,FS1HD,232.70.10.1,1234,172.31.27.21,172.31.28.21,FOX,Yes,Sentry 2,0,,Port 74,Port 1074
FS2HD,FOXS2,FS2HD,232.70.10.2,1234,172.31.27.21,172.31.28.21,FOX,Yes,Sentry 2,0,,Port 75,Port 1075
FSAZHD,FOXAZ,FSAZHD,232.23.36.99,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 76,Port 1076
FSDHD,FOXD,FSDHD,232.23.35.184,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 77,Port 1077
FSNFLHD,FOXFL,FSNFLHD,232.23.38.65,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 78,Port 1078
FSMSATH,FSMSATH,FSMSATH,232.23.39.183,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 79,Port 1079
FSNO1HD,FOXN,FSNO1HD,232.23.39.216,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 80,Port 1080
FSOH2HD,FOXCN,FSOH2HD,232.23.38.107,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 81,Port 1081
FSNOHNR,FSNOHNR,FSNOHNR,232.23.38.66,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 82,Port 1082
FSSDHD,FOXSD,FSSDHD,232.23.36.14,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 83,Port 1083
FSSEHD,FOXSE,FSSEHD,232.23.36.63,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 84,Port 1084
FSSHD,FOXSW,FSSHD,232.23.39.182,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 85,Port 1085
FSSOHD,FOXS,FSSOHD,232.23.39.185,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 86,Port 1086
FSTV,NA,FSTV,232.70.4.10,1234,172.31.27.23,172.31.28.23,LTN,Yes,Sentry 2,0,,Port 87,Port 1087
FSWHD,FOXW,FSWHD,232.23.38.64,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 2,0,,Port 88,Port 1088
FTVTW,FTVTW,FTVTW,232.20.97.131,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 89,Port 1089
FUJTV,FUJTV,FUJTV,232.33.7.6,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 90,Port 1090
FUSE,FUSE,FUSEHD,232.168.50.123,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 2,0,,Port 91,Port 1091
FUSION,FUSN,FUSION,232.23.38.34,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 2,0,,Port 92,Port 1092
FUTURE,FUTUR,FUTURE,232.20.214.59,3101,172.31.1.22,172.31.2.22,Che OVERON,Yes,Sentry 2,0,,Port 93,Port 1093
FXHD,FX,FXHD,232.70.10.3,1234,172.31.27.21,172.31.28.21,FOX,Yes,Sentry 2,0,,Port 94,Port 1094
FYI,FYI,FYI,232.70.3.3,1234,172.31.27.21,172.31.28.21,AandE,Yes,Sentry 2,0,,Port 95,Port 1095
GARVP,NA,GARVP,232.70.5.140,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 96,Port 1096
GCMDY,GCMDY,GCMDY,232.20.97.174,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 97,Port 1097
GEMITV,GEMNI,GEMITV,232.20.96.48,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 98,Port 1098
GEMNMV,GEMOV,GEMNMV,232.20.98.134,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 99,Port 1099
GEONWS,GEONW,GEONWS,232.20.214.29,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 2,0,,Port 100,Port 1100
GEOTV,GEOTV,GEOTV,232.20.214.31,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 2,0,,Port 101,Port 1101
GETV,GETV,GETV,232.20.97.198,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 102,Port 1102
GHANTA,NA,GHANTA,232.70.6.102,1234,172.31.27.22,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 103,Port 1103
GOLFHD,GOLF,GOLFHD,232.70.2.102,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 2,0,,Port 104,Port 1104
GREEKC,GREKC,GREEKC,232.20.97.162,3101,172.31.1.24,172.31.2.24,MX1,Yes,Sentry 2,0,,Port 105,Port 1105
GRTWLE,NA,GRTWLE,232.20.96.80,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 106,Port 1106
GRTWLF,NA,GRTWLF,232.70.5.143,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 107,Port 1107
GRVPG,NA,GRVPG,232.70.5.141,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 108,Port 1108
GRVSS,NA,GRVSS,232.70.5.142,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 109,Port 1109
GSNHD,NA,GSNHD,232.168.50.103,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 2,0,,Port 110,Port 1110
GUAND,NA,GUAND,232.33.7.10,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 111,Port 1111
GULISTN,NA,GULISTN,232.70.5.44,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 112,Port 1112
HALLHD,HALLHD,HALLHD,232.70.7.2,1234,172.31.27.23,172.31.28.23,ENCOMPASS,Yes,Sentry 2,0,,Port 113,Port 1113
HB,HALLA,HB,232.20.97.75,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 114,Port 1114
HBOE,HBOE,HBOE,232.168.50.14,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 2,0,,Port 115,Port 1115
OLD_HDNMV,OLD_HDNMV,OLD_HDNMV,232.23.40.2,3101,172.31.1.22,172.31.2.22,NOBUNDLE,No,Sentry 2,0,,Port 116,Port 1116
HDRHD,NA,HDRHD,232.70.7.3,1234,172.31.27.23,172.31.28.23,ENCOMPASS,Yes,Sentry 2,0,,Port 117,Port 1117
HGTVHD,HGTV,HGTVHD,232.168.50.2,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 2,0,,Port 118,Port 1118
HIDAYA,NA,HIDAYA,232.168.50.90,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 2,0,,Port 119,Port 1119
HISSTR,HIST,HISSTR,232.70.3.2,1234,172.31.27.21,172.31.28.21,AandE,Yes,Sentry 2,0,,Port 120,Port 1120
HISTE,HISTE,HISTE,232.168.50.122,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 2,0,,Port 121,Port 1121
HKYAT2,ARTH2,HKYAT2,232.20.214.28,3101,172.31.1.24,172.31.2.24,Che TATA,Yes,Sentry 2,0,,Port 122,Port 1122
HLNHD,HLN,HLNHD,232.168.50.43,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 2,0,,Port 123,Port 1123
HMMHD,HMM,HMMHD,232.70.7.1,1234,172.31.27.23,172.31.28.23,ENCOMPASS,Yes,Sentry 2,0,,Port 124,Port 1124
HMTV,NA,HMTV,232.70.5.48,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 125,Port 1125
HOLATVHD,NA,HOLATVHD,232.168.50.108,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 2,0,,Port 126,Port 1126
OLD_HRKRS,NA,OLD_HRKRS,232.70.5.74,1234,172.31.27.23,172.31.28.23,ZIXI,No,Sentry 2,0,,Port 127,Port 1127
HUMMA,HUMMA,HUMMA,232.20.97.170,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 2,0,,Port 128,Port 1128
HUNAN,HUNAN,HUNAN,232.33.7.8,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 129,Port 1129
IBNLOKMA,IBNLOKMA,IBNLOKMA,232.70.6.142,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 130,Port 1130
IFC,IFC,IFC,232.70.2.73,1234,172.31.27.23,172.31.28.23,AMC_,Yes,Sentry 2,0,,Port 131,Port 1131
OLD_IKKONK,NA,OLD_IKKONK,232.70.5.12,1234,172.31.27.23,172.31.28.23,ZIXI,No,Sentry 2,0,,Port 132,Port 1132
INDIA24,NA,INDIA24,232.70.6.104,1234,172.31.27.22,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 133,Port 1133
INDTODAY,NA,INDTODAY,232.20.97.167,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 134,Port 1134
INSYNC,NA,INSYNC,232.70.5.37,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 135,Port 1135
IPLUS,IPLUS,IPLUS,232.70.5.38,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 136,Port 1136
ISHWAR,NA,ISHWAR,232.70.5.64,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 137,Port 1137
ITVN,ITVN,ITVN,232.20.5.196,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 138,Port 1138
ITVNE,ITVNE,ITVNE,232.70.6.171,1234,172.31.27.23,172.31.28.23,TATA,Yes,Sentry 2,0,,Port 139,Port 1139
SHOWPHD,SHOWPHD,SHOWPHD,232.168.50.134,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 2,0,,Port 140,Port 1140
SHOCSE,SHOCSE,SHOCSE,232.168.50.132,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 2,0,,Port 141,Port 1141
JAYA,JAYA+,JAYA,232.20.97.132,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 142,Port 1142
JAYATV,JAYA,JAYATV,232.20.96.43,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 143,Port 1143
JAZMUB,AJMUB,JAZMUB,232.20.97.103,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 144,Port 1144
BEIN5,BEIN5,BEIN5,232.70.15.5,1234,172.31.27.24,172.31.28.24,Eurovision SRT,Yes,Sentry 2,0,,Port 145,Port 1145
BEIN6,BEIN6,BEIN6,232.70.15.6,1234,172.31.27.24,172.31.28.24,Eurovision SRT,Yes,Sentry 2,0,,Port 146,Port 1146
BEIN7,BEIN7,BEIN7,232.70.15.7,1234,172.31.27.24,172.31.28.24,Eurovision SRT,Yes,Sentry 2,0,,Port 147,Port 1147
WTHRNHD,WTHRNHD,WTHRNHD,232.168.50.128,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 2,0,,Port 148,Port 1148
ZLVINGH,ZLVINGH,ZLVINGH,232.23.41.121,3101,172.31.1.21,172.31.2.21,VYVX,Yes,Sentry 2,0,,Port 149,Port 1149
TENIS,TENIS,TENIS,232.168.50.157,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 2,0,,Port 150,Port 1150
IQRAA,IQRAA,IQRAA,232.20.214.4,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 2,0,,Port 151,Port 1151
TVBV,TVBV,TVBV,232.20.97.100,3101,172.31.1.21,172.31.2.21,VYVX,Yes,Sentry 2,0,,Port 152,Port 1152
ZCINEMA,ZCINEMA,ZCINEMA,232.20.94.142,3101,172.31.1.21,172.31.2.21,BT Tower,Yes,Sentry 2,0,,Port 153,Port 1153
ZNEWS,ZNEWS,ZNEWS,232.20.97.84,3101,172.31.1.21,172.31.2.21,BT Tower,Yes,Sentry 2,0,,Port 154,Port 1154
CSNDC,CSNDC,CSNDC,232.70.2.117,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 2,0,,Port 155,Port 1155
ESPNHD,ESPN,ESPNHD,232.70.2.11,1234,172.31.27.21,172.31.28.21,ESPN,Yes,Sentry 2,0,,Port 156,Port 1156
JIG,JIC,JIG,232.33.7.1,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,,Port 0,Port 1000
JISRTV,NA,JISRTV,232.70.5.15,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,,Port 1,Port 1001
JK,NA,JK,232.70.5.41,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,,Port 2,Port 1002
JMAX,JMAX,JMAX,232.20.97.53,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,,Port 3,Port 1003
JMOV,JMOV,JMOV,232.20.118.11,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,,Port 4,Port 1004
JORDAN,NA,JORDAN,232.23.13.29,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 3,0,,Port 5,Port 1005
JUS1,JUS1,JUS1,232.70.5.147,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,,Port 6,Port 1006
JUSCO,JUSCO,JUSCO,232.70.5.148,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,,Port 7,Port 1007
JUSPUNJ,JUS,JUSPUNJ,232.20.5.129,3101,172.31.1.24,172.31.2.24,TATA,Yes,Sentry 3,0,,Port 8,Port 1008
KABEDT,KABE,KABEDT,232.30.12.31,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,0,,Port 9,Port 1009
KAIRALI,KAIRA,KAIRALI,232.20.98.135,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,1:Audio Pid,Port 10,Port 1010
KAIRWE,NA,KAIRWE,232.70.1.12,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 3,0,1:Audio Pid,Port 11,Port 1011
KAJB,KAJB,KAJB,232.30.214.8,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,2,1:eng 2:spa,Port 12,Port 1012
KAKW,KAKW,KAKW,232.31.11.7,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 13,Port 1013
KATHYANI,NA,KATHYANI,232.70.5.59,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,,Port 14,Port 1014
KBNT,KBNT,KBNT,232.31.171.8,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 15,Port 1015
KCEC,KCEC,KCEC,232.30.53.9,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 16,Port 1016
KDCU,KDCU,KDCU,232.31.208.9,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 17,Port 1017
KDFWDT,KDFW,KDFWDT,232.31.50.4,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 18,Port 1018
KDTF,KDTF,KDTF,232.31.171.6,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 19,Port 1019
KDTV,KDTV,KDTV,232.31.172.13,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 20,Port 1020
KFPH,KFPH,KFPH,232.31.151.10,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:spa,Port 21,Port 1021
KFSF,KFSF,KFSF,232.31.172.12,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 22,Port 1022
KFTH,KFTH,KFTH,232.31.90.22,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 23,Port 1023
KFTR,KFTR,KFTR,232.31.114.13,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 24,Port 1024
KFTV,KFTV,KFTV,232.31.71.5,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 25,Port 1025
KHBRTV,NA,KHBRTV,232.70.5.60,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,1 audio pid,Port 26,Port 1026
KINC,KINC,KINC,232.31.109.15,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 27,Port 1027
KINOPOL,KINO!,KINOPOL,232.70.5.28,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 3,0,1 audio pid,Port 28,Port 1028
KINT,KINT,KINT,232.31.58.8,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 29,Port 1029
KIRAN,KIRAN,KIRAN,232.20.97.177,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,1 audio pid,Port 30,Port 1030
KLDO,KLDO,KLDO,232.31.108.5,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 31,Port 1031
KLGNRTV,KLAIG,KLGNRTV,232.20.96.65,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,1 audio pid,Port 32,Port 1032
KLUZ,KLUZ,KLUZ,232.31.4.13,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 33,Port 1033
KMEX,KMEX,KMEX,232.31.114.8,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 34,Port 1034
KMSPDT,KMSP,KMSPDT,232.31.127.4,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 35,Port 1035
KNBCDT,KNBC,KNBCDT,232.70.2.159,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 3,AC3,1:AC3 2:san,Port 36,Port 1036
KNIC,KNIC,KNIC,232.31.170.10,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 37,Port 1037
KNSDDT,KNSD,KNSDDT,232.70.2.158,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 3,AC3,"1:AC3 2:AAC,eng",Port 38,Port 1038
KNTVDT,KNTV,KNTVDT,232.70.2.160,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 3,AC3,"1:AC3 2:AAC,eng",Port 39,Port 1039
KNVO,KNVO,KNVO,232.31.83.10,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 40,Port 1040
KORO,KORO,KORO,232.31.49.9,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 41,Port 1041
KPMR,KPMR,KPMR,232.31.175.6,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 42,Port 1042
KREN,KREN,KREN,232.31.160.8,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 43,Port 1043
KRIVDT,KRIV,KRIVDT,232.31.90.4,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 44,Port 1044
KSAZDT,KSAZ,KSAZDT,232.31.151.4,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 45,Port 1045
KSMSDT,KSMS,KSMSDT,232.31.132.6,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 46,Port 1046
KSTR,KSTR,KSTR,232.31.50.15,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,0,????????????,Port 47,Port 1047
KSTU,KSTU,KSTU,232.31.168.4,3101,172.31.1.24,172.31.2.24,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 48,Port 1048
KTBCDT,KTBC,KTBCDT,232.31.11.4,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 49,Port 1049
BEIN3,BEIN3,BEIN3,232.70.15.3,1234,172.31.27.24,172.31.28.24,Eurovision SRT,Yes,Sentry 3,1,"1:AC3,eng 2:,mult, 3:cue, 4:int",Port 50,Port 1050
KTFF,KTFF,KTFF,232.31.71.9,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,0,1 audio pid,Port 51,Port 1051
KTFK,KTFK,KTFK,232.31.166.8,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 52,Port 1052
KTFN,KTFN,KTFN,232.31.58.9,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 53,Port 1053
KTFQ,KTFQ,KTFQ,232.31.4.12,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 54,Port 1054
KTFVDT,KTFVDT,KTFVDT,232.31.83.6,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,0,1 audio pid,Port 55,Port 1055
KTTVDT,KTTV,KTTVDT,232.31.114.4,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 56,Port 1056
KTV1,KTV,KTV1,232.20.97.119,3101,172.31.1.21,172.31.2.21,Che BT Tower,Yes,Sentry 3,0,1 audio pid,Port 57,Port 1057
KTVUDT,KTVU,KTVUDT,232.31.172.4,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 58,Port 1058
KTVW,KTVW,KTVW,232.31.151.9,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 59,Port 1059
KUNPDT,KUNPDT,KUNPDT,232.31.154.8,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 60,Port 1060
KUNS,KUNS,KUNS,232.31.177.13,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 61,Port 1061
KUNW,KUNW,KUNW,232.30.212.1,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,0,???????????,Port 62,Port 1062
KUOK,KUOK,KUOK,232.31.141.9,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,0,1 audio pid,Port 63,Port 1063
KUPB,KUPB,KUPB,232.31.140.8,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 64,Port 1064
KUTH,KUTH,KUTH,232.31.168.10,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 65,Port 1065
KUVE,KUVE,KUVE,232.31.196.10,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 66,Port 1066
KUVN,KUVN,KUVN,232.31.50.16,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,2,????????,Port 67,Port 1067
KUVS,KUVS,KUVS,232.31.166.7,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 68,Port 1068
KVER,KVER,KVER,232.31.146.8,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 69,Port 1069
KVSN,KVSN,KVSN,232.31.43.5,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:AC3 2:san,Port 70,Port 1070
KVYE,KVYE,KVYE,232.30.214.9,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,0,1 audio pid,Port 71,Port 1071
KWEX,KWEX,KWEX,232.31.170.9,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 72,Port 1072
KXASDT,KXAS,KXASDT,232.70.2.156,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 3,AC3,1:AC3 2:san,Port 73,Port 1073
KXLN,KXLN,KXLN,232.31.90.21,3101,172.31.1.23,172.31.2.23,LOCALS,Yes,Sentry 3,AC3,1:san 2:AC3,Port 74,Port 1074
LA7ITL,LA7TE,LA7ITL,232.20.97.148,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,1 audio pid,Port 75,Port 1075
LBC,LBCS,LBC,232.23.13.37,3101,172.31.1.24,172.31.2.24,NEXTOLOGIES,Yes,Sentry 3,0,1 audio pid,Port 76,Port 1076
LDC,LDC,LDC,232.20.214.60,3101,172.31.1.22,172.31.2.22,Che OVERON,Yes,Sentry 3,0,1 audio pid,Port 77,Port 1077
LFOODZ,LVNGF,LFOODZ,232.20.97.85,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 3,0,1 audio pid,Port 78,Port 1078
LGSTV,NA,LGSTV,232.168.50.89,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 3,0,1 audio pid,Port 79,Port 1079
LIFEHD,LIFE,LIFEHD,232.70.3.5,1234,172.31.27.21,172.31.28.21,AandE,Yes,Sentry 3,AC3,1:und 2:AC3,Port 80,Port 1080
LMN,LMN,LMN,232.70.3.6,1234,172.31.27.21,172.31.28.21,AandE,Yes,Sentry 3,AC3,1:und 2:AC3,Port 81,Port 1081
LOGO,LOGO,LOGO,232.168.50.102,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 3,1,"1: AC3,2.0 2:AC3,1.0",Port 82,Port 1082
DEUTWG,DEUTWG,DEUTWG,232.20.96.74,3101,172.31.1.23,172.31.2.23,DBS,Yes,Sentry 3,0,1 audio pid,Port 83,Port 1083
NBATOR,NA,NBATOR,232.23.36.88,3101,172.31.1.24,172.31.2.24,Gilbert MCR,Yes,Sentry 3,AC3,"1:AC3,eng 2:Audio2.0",Port 84,Port 1084
DEUTWE,DEUTWE,DEUTWE,232.168.50.158,3101,172.31.1.21,172.31.2.21,Gilbert IRD,Yes,Sentry 3,0,1 audio pid,Port 85,Port 1085
DEUTWA,DEUTWA,DEUTWA,232.70.1.84,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 3,0,,Port 86,Port 1086
OLD_MAATV,OLD_MAATV,OLD_MAATV,232.20.98.146,3101,172.31.1.21,172.31.2.21,DBS,No,Sentry 3,0,,Port 87,Port 1087
MCLASSIC,MCLASSIC,MCLASSIC,232.20.214.49,3101,172.31.1.24,172.31.2.24,Che NEXTOLOGIES,Yes,Sentry 3,0,,Port 88,Port 1088
MAFLAM,MLDYA,MAFLAM,232.20.214.50,3101,172.31.1.24,172.31.2.24,Che NEXTOLOGIES,Yes,Sentry 3,0,,Port 89,Port 1089
OLD_MAGOLD,OLD_MAAG,OLD_MAGOLD,232.20.118.14,3101,172.31.1.21,172.31.2.21,DBS,No,Sentry 3,0,,Port 90,Port 1090
