MASTER PATH,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port
CHNLI,CHNLI,CHNLI,232.20.98.131,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 1,0,,Port 119,Port 1119
CHONENW,NA,CHONENW,232.70.5.43,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 1,0,,Port 120,Port 1120
CINEBAN,CINEBAN,CINEBAN,232.20.95.237,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 1,0,,Port 121,Port 1121
CINEMOIS,NA,CINEMOIS,232.70.5.144,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 1,0,,Port 122,Port 1122
CINEL,CINEL,CINEL,232.23.37.193,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 1,0,,Port 123,Port 1123
CINPRO,NA,CINPRO,232.23.13.24,3101,172.31.1.22,172.31.2.22,NEXTOLOGIES,Yes,Sentry 1,0,,Port 124,Port 1124
CLRS,APCLR,CLRS,232.20.6.22,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 1,0,,Port 125,Port 1125
CMTV,CMTV,CMTV,232.168.50.97,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 126,Port 1126
CNBCHD,CNBC,CNBCHD,232.70.2.111,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 1,0,,Port 127,Port 1127
CNINT,CNINT,CNINT,232.168.50.46,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 128,Port 1128
CNNHD,CNN,CNNHD,232.168.50.39,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 129,Port 1129
COLGUJ,NA,COLGUJ,232.70.6.136,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 1,0,,Port 130,Port 1130
COLORIY,NA,COLORIY,232.70.6.135,1234,172.31.27.22,172.31.28.22,TATA,Yes,Sentry 1,0,,Port 131,Port 1131
COLSU,NA,COLSU,232.70.6.90,1234,172.31.27.22,172.31.28.22,TATA,Yes,Sentry 1,0,,Port 132,Port 1132
COMEDY,COMEDY,COMEDY,232.168.50.101,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 133,Port 1133
COOKHD,COOK,COOKHD,232.168.50.5,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 1,0,,Port 134,Port 1134
CQTV,CQTV,CQTV,232.20.96.35,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 1,0,,Port 135,Port 1135
CSNBA,CSNBA,CSNBA,232.70.2.114,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 1,0,,Port 136,Port 1136
CSNBA1,NA,CSNBA1,232.23.36.41,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 1,0,,Port 137,Port 1137
CSNBA2,NA,CSNBA2,232.23.36.42,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 1,0,,Port 138,Port 1138
CSNCA3,CSNCA3,CSNCA3,232.23.34.43,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 1,0,,Port 139,Port 1139
CSNCA4,NA,CSNCA4,232.23.36.44,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 1,0,,Port 140,Port 1140
CSNCAS,CSNCA,CSNCAS,232.70.12.6,1234,172.31.27.24,172.31.28.24,LOCALS,Yes,Sentry 1,0,,Port 141,Port 1141
CSNCH,CSNCH,CSNCH,232.70.2.118,1234,172.31.27.22,172.31.28.22,NBC,Yes,Sentry 1,0,,Port 142,Port 1142
CSNCH5,CSNCH5,CSNCH5,232.23.34.45,3101,172.31.1.22,172.31.2.22,DBS,Yes,Sentry 1,0,,Port 143,Port 1143
CSNCH6,NA,CSNCH6,232.23.36.46,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 1,0,,Port 144,Port 1144
CSNCH7,NA,CSNCH7,232.23.36.47,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 1,0,,Port 145,Port 1145
OLD_CSNNE,OLD_CSNNE,OLD_CSNNE,232.70.2.116,1234,172.31.27.22,172.31.28.22,NBC,No,Sentry 1,0,,Port 146,Port 1146
CSNDC8,NA,CSNDC8,232.23.36.48,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 1,0,,Port 147,Port 1147
CSNDC9,NA,CSNDC9,232.23.36.49,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 1,0,,Port 148,Port 1148
CSONY,CSONY,CSONY,232.168.50.124,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 149,Port 1149
CTSI,PAS,CTSI,232.20.97.199,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 1,0,,Port 150,Port 1150
CTV,NA,CTV,232.168.50.88,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 1,0,,Port 151,Port 1151
